"","address","list_price","bed","bathroom","sq_footage","hunter_mins","stewart_mins","num_acres","HOA_price","price_value","bed_value","bathroom_value","footage_value","hunter_time_value","stewart_time_value","acres_value","HOA_value","value","latitude","longitude","price_category","value_category","value_per_dollar"
"148","3 Judith St PARCEL 3, Pembroke, GA 31321",239900,4,3,1863,49,29,0.32,0,0.100200400801603,0.75,0.75,0.892008639308855,0.222222222222222,0.328767123287671,0.178571428571429,0.928571428571429,0.576305180647518,32.14197,-81.61996,"high","med",0.000240227253292004
"149","2117 New Mexico St, Savannah, GA 31404",165000,2,1,825,NA,59,0.14,0,0.888888888888889,0.25,0.25,0.0645161290322581,NA,NA,0.108695652173913,0.928571428571429,0.38849474508661,32.06671,-81.05413,"med","low",0.000235451360658552
"150","1605 Reynolds St, Savannah, GA 31401",229900,3,1,1149,NA,54,NA,NA,0.12531328320802,0.5,0.25,0.110864745011086,NA,NA,NA,NA,0.317389927146025,32.05866,-81.09052,"high","low",0.000138055644691616
"151","1107 W 41st St, Savannah, GA 31415",95000,3,1,1008,NA,50,0.11,0,0.956521739130435,0.5,0.25,0.0844594594594595,NA,NA,0.102040816326531,0.928571428571429,0.459697638269067,32.05707,-81.11457,"low","low",0.000483892250809544
"152","1905 Harrison St, Savannah, GA 31404",160000,2,1,936,NA,NA,0.12,0,0.9,0.25,0.25,0.0753012048192771,NA,NA,0.104166666666667,0.928571428571429,0.390043942001773,32.06464,-81.06107,"med","low",0.000243777463751108
"153","27 Villas Of Garrard Dr, Savannah, GA 31405",203990,3,3,1473,NA,NA,NA,1440,0.357398141529664,0.5,0.75,0.393700787401575,NA,NA,NA,0.0210084033613445,0.385042678488718,32.04108,-81.15835,"high","low",0.000188755663752497
"154","2318 Lorraine Dr, Savannah, GA 31404",185000,3,1,946,NA,57,0.18,0,0.8,0.5,0.25,0.0764525993883792,NA,NA,0.119047619047619,0.928571428571429,0.459787918503515,32.02725,-81.07378,"med","low",0.0002485340100019
"155","810 Googe St, Savannah, GA 31415",115000,2,1,704,22,50,0.12,0,0.947368421052632,0.25,0.25,0.0558035714285715,0.650793650793651,0.698630136986301,0.104166666666667,0.928571428571429,0.497252950520645,32.07288,-81.12065,"low","med",0.000432393870017952
"156","2103 Utah St, Savannah, GA 31404",140000,2,1,1179,NA,NA,0.15,0,0.928571428571429,0.25,0.25,0.118764845605701,NA,NA,0.111111111111111,0.928571428571429,0.398577735276073,32.06556,-81.05622,"low","low",0.000284698382340052
"157","2008 Linnhurst Dr, Savannah, GA 31404",169900,3,1,1197,NA,58,0.16,0,0.875311720698254,0.5,0.25,0.124069478908189,NA,NA,0.113636363636364,0.928571428571429,0.467953600651548,32.03537,-81.0684,"med","low",0.000275428840877898
